# x,y,z (meters) — fire_patrol 6x5格心弓字形全覆盖巡逻航点
# 2026-07-16真机测试后手动调整：巡航高度1.80->1.60m，末尾加了回原点+分段降到
# 0.20m再交给land()的降落序列。此文件现在手动维护，不要直接重跑
# python Lcode/coverage_path.py覆盖——那只会生成1.80m+无分段降落的旧版本。
# 2026-07-16第二次调整：整体旋转90度(新x=旧y, 新y=-旧x)，原朝向下T265正对墙
# 导致视觉跟踪质量下降/位置判断出问题，换个朝向避开正对墙。网格大小不变(4m×3.2m)。
# 2026-07-17第三次调整：末航点高度0.2->0.1——问题35(触发过检测的飞行，最终降落
# 卡在9~10cm约10秒后超时锁桨)分析后判断"末航点写更低"规避不了根因(卡住发生在
# land()触发之后，不受触发前目标高度影响)，但降到0.1m能让最坏情况下(又卡住被
# 超时强制锁桨)摔落的绝对高度更低，是纯粹的安全缓冲，不针对根因，见known_issues.md。
0.00,0.00,1.60
0.00,-4.00,1.60
0.80,-4.00,1.60
0.80,0.00,1.60
1.60,0.00,1.60
1.60,-4.00,1.60
2.40,-4.00,1.60
2.40,0.00,1.60
3.20,0.00,1.60
3.20,-4.00,1.60
0.00,0.00,1.60
0.00,0.00,0.10
